product_id,variant_id,sku,product_name,location_id,location_name,inventory_level,availability,capacity,safety_stock,shipping_cost,service_level
221,188,20330027,Pre-Owned Ingenieur,1,Default location,196,available,500,50,3.0,0.9
222,189,19452881,2020 Pre-Owned Royal Oak Automatik (41mm),1,Default location,177,available,500,50,3.0,0.9
223,190,14730110,Jarron Galium Geometric Pattern Vase,1,Default location,196,available,500,50,3.0,0.9
225,192,19298753,Logo Print Cotton T-Shirt,1,Default location,42,available,500,50,3.0,0.9
227,194,18004408,Narrow Brim Straw Hat,1,Default location,98,available,500,50,3.0,0.9
228,195,19021212,Graphic Print Hi Top Sneakers,1,Default location,2,low_stock,500,50,3.0,0.9
229,196,20484111,Pegasus Turbo Next Nature Sneakers,1,Default location,223,available,500,50,3.0,0.9
230,197,20240325,Tie Detail Leather Midi Skirt,1,Default location,118,available,500,50,3.0,0.9
232,199,19514072,Logo Print Shorts,1,Default location,64,available,500,50,3.0,0.9
233,200,19274565,Logo Print Long Sleeve Sweatshirt,1,Default location,23,available,500,50,3.0,0.9
234,201,19813401,Embroidered Silk Shirt,1,Default location,214,available,500,50,3.0,0.9
235,202,14169637,Lebron 16 Four Horsemen Sneakers,1,Default location,7,low_stock,500,50,3.0,0.9
236,203,20060068,Elasticated Waist Track Pants,1,Default location,78,available,500,50,3.0,0.9
237,204,19349405,Roll Neck Lame Dress,1,Default location,39,available,500,50,3.0,0.9
239,206,18892821,Checked Long Sleeved Shirt,1,Default location,131,available,500,50,3.0,0.9
241,208,18455056,Thomas Bear Twi Tone Sweatshirt,1,Default location,63,available,500,50,3.0,0.9
242,209,19255014,Pullover Classic Hoodie,1,Default location,37,available,500,50,3.0,0.9
243,210,19123075,Oversized Faux Fur Gilet,1,Default location,126,available,500,50,3.0,0.9
244,211,15911934,Round Neck Jumper,1,Default location,121,available,500,50,3.0,0.9
246,213,17751985,Kardes Feather Print Mini Dress,1,Default location,89,available,500,50,3.0,0.9
247,214,16982752,Teddy Patch Hoodie Tracksuit Set,1,Default location,200,available,500,50,3.0,0.9
248,215,18814197,Checked Wide Leg Trousers,1,Default location,50,available,500,50,3.0,0.9
249,216,19092151,Logo Print Track Pants,1,Default location,152,available,500,50,3.0,0.9
250,217,18650368,Logo Mania Reversible Dress,1,Default location,4,low_stock,500,50,3.0,0.9
251,218,14486009,Sensitive Content Hoodie,1,Default location,19,available,500,50,3.0,0.9
252,219,20068659,Tenesy Cotton Tank Top,1,Default location,56,available,500,50,3.0,0.9
253,220,19748412,Abstract Print Long Sleeve Blouse,1,Default location,234,available,500,50,3.0,0.9
314,281,AFN-9PM-EDP,Afnan 9PM Eau de Parfum,1,Default location,120,available,500,50,3.0,0.9
315,282,CH-BDC-EDP,Bleu de Chanel,1,Default location,90,available,500,50,3.0,0.9
316,283,NAU-VYG-EDT,Nautica Voyage Eau de Toilette,1,Default location,500,available,500,50,3.0,0.9
317,284,TF-TV-EDP,Tom Ford Tobacco Vanille,1,Default location,50,available,500,50,3.0,0.9
318,285,VER-EROS-EDT,Versace Eros Eau de Toilette,1,Default location,150,available,500,50,3.0,0.9
319,286,JM-WSSS-COL,Jo Malone Wood Sage & Sea Salt,1,Default location,80,available,500,50,3.0,0.9
320,287,GA-SI-EDP,Giorgio Armani Si,1,Default location,140,available,500,50,3.0,0.9
321,288,CD-SVG-EDT,Dior Sauvage Eau de Toilette,1,Default location,200,available,500,50,3.0,0.9
322,289,ARF-CDNIM-EDT,Club de Nuit Intense Man,1,Default location,300,available,500,50,3.0,0.9
323,290,LAN-LVEB-EDP,Lancôme La Vie Est Belle,1,Default location,160,available,500,50,3.0,0.9
324,291,DVD-CW-EDT,Davidoff Cool Water,1,Default location,180,available,500,50,3.0,0.9
325,292,CK-ONE-EDT,Calvin Klein CK One,1,Default location,250,available,500,50,3.0,0.9
326,293,CH-GG-EDP,Carolina Herrera Good Girl,1,Default location,100,available,500,50,3.0,0.9
327,294,PR-1M-EDT,Paco Rabanne 1 Million,1,Default location,180,available,500,50,3.0,0.9
328,295,MB-EXP-EDP,Montblanc Explorer,1,Default location,140,available,500,50,3.0,0.9
329,296,GA-ADG-EDT,Acqua Di Giò Eau de Toilette,1,Default location,150,available,500,50,3.0,0.9
330,297,HLW-MNX-EDT,Halloween Man X,1,Default location,110,available,500,50,3.0,0.9
331,298,JPG-LM-EDT,Jean Paul Gaultier Le Male,1,Default location,150,available,500,50,3.0,0.9
332,299,GSS-SED-EDT,Guess Seductive Homme,1,Default location,200,available,500,50,3.0,0.9
333,300,YSL-LIB-EDP,Yves Saint Laurent Libre,1,Default location,115,available,500,50,3.0,0.9
334,301,BUR-TCH-EDT,Burberry Touch for Men,1,Default location,125,available,500,50,3.0,0.9
335,302,DG-LB-EDT,Dolce & Gabbana Light Blue,1,Default location,200,available,500,50,3.0,0.9
336,303,GU-BLM-EDP,Gucci Bloom Eau de Parfum,1,Default location,75,available,500,50,3.0,0.9
337,304,HB-BOT-EDT,Hugo Boss Bottled,1,Default location,160,available,500,50,3.0,0.9
338,305,VR-FB-EDP,Viktor&Rolf Flowerbomb,1,Default location,110,available,500,50,3.0,0.9
339,306,LAC-WHT-EDT,Lacoste Blanc,1,Default location,140,available,500,50,3.0,0.9
340,307,AG-CLD-EDP,Ariana Grande Cloud,1,Default location,179,available,500,50,3.0,0.9
341,308,AZ-WNT-EDT,Azzaro Wanted,1,Default location,130,available,500,50,3.0,0.9
342,309,VER-BC-EDT,Versace Bright Crystal,1,Default location,128,available,500,50,3.0,0.9
343,310,CH-N5-EDP,Chanel N°5 Eau de Parfum,1,Default location,100,available,500,50,3.0,0.9
344,311,18165932,logo-print pullover hoodie,1,Default location,185,available,500,50,3.0,0.9
345,312,19629146,graphic logo-print T-shirt,1,Default location,45,available,500,50,3.0,0.9
